,nodeA,nodeB
487,Ronald Reagan,Trump
488,Reagan,Trump
489,Helmut Kohl,Trump
490,Glenn Kessler,Trump
491,Kessler,Trump
492,Richard Nixon,Trump
493,Trump,Zhou Enlai
494,Mao,Trump
495,Nixon,Trump
496,Clinton,Trump
497,Clinton,Trump
498,Obama,Trump
499,Trump,Trump
500,Clinton,Trump
501,Moammar Gadhafi,Trump
502,Lauer,Trump
503,Ted Cruz,Trump
504,Gadhafi,Trump
505,Clinton,Trump
506,Gadhafi,Trump
507,Clinton,Trump
508,Clinton,Trump
509,Clinton,Trump
510,Clinton,Trump
511,Clinton,Trump
512,Clinton,Trump
513,Rachel Maddow,Trump
514,Maddow,Trump
515,Maddow,Trump
516,Clinton,Trump
517,Clinton,Trump
518,Clinton,Trump
519,Clinton,Trump
520,Clinton,Trump
521,Clinton,Trump
522,Clinton,Trump
523,Clinton,Trump
524,Clinton,Trump
525,Clinton,Trump
526,Clinton,Trump
527,Obama,Trump
528,Trump,Trump
529,Clinton,Trump
530,Clinton,Trump
531,Moammar Gadhafi,Trump
532,Clinton,Trump
533,Clinton,Trump
534,Clinton,Trump
535,Matt Lauer,Trump
536,Clinton,Trump
537,Trump,Trump
538,Howard Stern,Trump
539,Trump,Trump
540,Clinton,Trump
541,Clinton,Trump
542,Clinton,Trump
543,Neil Cavuto,Trump
544,Cavuto,Trump
545,Trump,Trump
546,Chris Matthews,Trump
547,Joe Scarborough,Trump
548,Donald Trump,Trump
549,Obama,Trump
550,George W. Bush,Trump
551,Matt Lauer,Trump
552,Bush,Trump
553,Bush,Trump
554,Condoleezza Rice,Trump
555,Bush,Trump
556,Bush,Trump
557,Nouri al-Maliki,Trump
558,Leon Panetta,Trump
559,Maliki,Trump
560,Raul Castro,Trump
561,Salman,Trump
562,Ronald Reagan,Trump
563,Reagan,Trump
564,Helmut Kohl,Trump
565,Glenn Kessler,Trump
566,Kessler,Trump
567,Richard Nixon,Trump
568,Trump,Zhou Enlai
569,Mao,Trump
570,Nixon,Trump
571,Clinton,Trump
572,Clinton,Trump
573,Obama,Trump
574,Trump,Trump
575,Clinton,Trump
576,Moammar Gadhafi,Trump
577,Lauer,Trump
578,Ted Cruz,Trump
579,Gadhafi,Trump
580,Clinton,Trump
581,Gadhafi,Trump
582,Clinton,Trump
583,Clinton,Trump
584,Clinton,Trump
585,Clinton,Trump
586,Clinton,Trump
587,Clinton,Trump
588,Rachel Maddow,Trump
589,Maddow,Trump
590,Maddow,Trump
591,Clinton,Trump
592,Clinton,Trump
593,Clinton,Trump
594,Clinton,Trump
595,Clinton,Trump
596,Clinton,Trump
597,Clinton,Trump
598,Clinton,Trump
599,Clinton,Trump
600,Clinton,Trump
601,Clinton,Trump
602,Obama,Trump
603,Clinton,Obama
604,Clinton,Obama
